0,VCTK_gt_p245_001,../ref_22.05k/Dublin/p245/p245_001.wav,wav,,,p245,,irish
1,VCTK_gt_p245_002,../ref_22.05k/Dublin/p245/p245_002.wav,wav,,,p245,,irish
2,VCTK_gt_p245_003,../ref_22.05k/Dublin/p245/p245_003.wav,wav,,,p245,,irish
3,VCTK_gt_p245_004,../ref_22.05k/Dublin/p245/p245_004.wav,wav,,,p245,,irish
4,VCTK_gt_p245_005,../ref_22.05k/Dublin/p245/p245_005.wav,wav,,,p245,,irish
5,VCTK_gt_p245_006,../ref_22.05k/Dublin/p245/p245_006.wav,wav,,,p245,,irish
6,VCTK_gt_p245_007,../ref_22.05k/Dublin/p245/p245_007.wav,wav,,,p245,,irish
7,VCTK_gt_p245_008,../ref_22.05k/Dublin/p245/p245_008.wav,wav,,,p245,,irish
8,VCTK_gt_p245_009,../ref_22.05k/Dublin/p245/p245_009.wav,wav,,,p245,,irish
9,VCTK_gt_p245_010,../ref_22.05k/Dublin/p245/p245_010.wav,wav,,,p245,,irish
10,VCTK_gt_p245_011,../ref_22.05k/Dublin/p245/p245_011.wav,wav,,,p245,,irish
11,VCTK_gt_p245_012,../ref_22.05k/Dublin/p245/p245_012.wav,wav,,,p245,,irish
12,VCTK_gt_p245_013,../ref_22.05k/Dublin/p245/p245_013.wav,wav,,,p245,,irish
13,VCTK_gt_p245_014,../ref_22.05k/Dublin/p245/p245_014.wav,wav,,,p245,,irish
14,VCTK_gt_p245_015,../ref_22.05k/Dublin/p245/p245_015.wav,wav,,,p245,,irish
15,VCTK_gt_p245_016,../ref_22.05k/Dublin/p245/p245_016.wav,wav,,,p245,,irish
16,VCTK_gt_p245_017,../ref_22.05k/Dublin/p245/p245_017.wav,wav,,,p245,,irish
17,VCTK_gt_p245_018,../ref_22.05k/Dublin/p245/p245_018.wav,wav,,,p245,,irish
18,VCTK_gt_p245_019,../ref_22.05k/Dublin/p245/p245_019.wav,wav,,,p245,,irish
19,VCTK_gt_p245_020,../ref_22.05k/Dublin/p245/p245_020.wav,wav,,,p245,,irish
20,VCTK_gt_p245_021,../ref_22.05k/Dublin/p245/p245_021.wav,wav,,,p245,,irish
21,VCTK_gt_p245_022,../ref_22.05k/Dublin/p245/p245_022.wav,wav,,,p245,,irish
22,VCTK_gt_p245_023,../ref_22.05k/Dublin/p245/p245_023.wav,wav,,,p245,,irish
23,VCTK_gt_p288_001,../ref_22.05k/Dublin/p288/p288_001.wav,wav,,,p288,,irish
24,VCTK_gt_p288_002,../ref_22.05k/Dublin/p288/p288_002.wav,wav,,,p288,,irish
25,VCTK_gt_p288_003,../ref_22.05k/Dublin/p288/p288_003.wav,wav,,,p288,,irish
26,VCTK_gt_p288_004,../ref_22.05k/Dublin/p288/p288_004.wav,wav,,,p288,,irish
27,VCTK_gt_p288_005,../ref_22.05k/Dublin/p288/p288_005.wav,wav,,,p288,,irish
28,VCTK_gt_p288_006,../ref_22.05k/Dublin/p288/p288_006.wav,wav,,,p288,,irish
29,VCTK_gt_p288_007,../ref_22.05k/Dublin/p288/p288_007.wav,wav,,,p288,,irish
30,VCTK_gt_p288_008,../ref_22.05k/Dublin/p288/p288_008.wav,wav,,,p288,,irish
31,VCTK_gt_p288_009,../ref_22.05k/Dublin/p288/p288_009.wav,wav,,,p288,,irish
32,VCTK_gt_p288_010,../ref_22.05k/Dublin/p288/p288_010.wav,wav,,,p288,,irish
33,VCTK_gt_p288_011,../ref_22.05k/Dublin/p288/p288_011.wav,wav,,,p288,,irish
34,VCTK_gt_p288_012,../ref_22.05k/Dublin/p288/p288_012.wav,wav,,,p288,,irish
35,VCTK_gt_p288_013,../ref_22.05k/Dublin/p288/p288_013.wav,wav,,,p288,,irish
36,VCTK_gt_p288_014,../ref_22.05k/Dublin/p288/p288_014.wav,wav,,,p288,,irish
37,VCTK_gt_p288_015,../ref_22.05k/Dublin/p288/p288_015.wav,wav,,,p288,,irish
38,VCTK_gt_p288_016,../ref_22.05k/Dublin/p288/p288_016.wav,wav,,,p288,,irish
39,VCTK_gt_p288_017,../ref_22.05k/Dublin/p288/p288_017.wav,wav,,,p288,,irish
40,VCTK_gt_p288_018,../ref_22.05k/Dublin/p288/p288_018.wav,wav,,,p288,,irish
41,VCTK_gt_p288_019,../ref_22.05k/Dublin/p288/p288_019.wav,wav,,,p288,,irish
42,VCTK_gt_p288_020,../ref_22.05k/Dublin/p288/p288_020.wav,wav,,,p288,,irish
43,VCTK_gt_p288_021,../ref_22.05k/Dublin/p288/p288_021.wav,wav,,,p288,,irish
44,VCTK_gt_p288_022,../ref_22.05k/Dublin/p288/p288_022.wav,wav,,,p288,,irish
45,VCTK_gt_p288_023,../ref_22.05k/Dublin/p288/p288_023.wav,wav,,,p288,,irish
46,VCTK_gt_p295_002,../ref_22.05k/Dublin/p295/p295_002.wav,wav,,,p295,,irish
47,VCTK_gt_p295_003,../ref_22.05k/Dublin/p295/p295_003.wav,wav,,,p295,,irish
